index,item_name
1,Pollution
2,Use of electricity from coal and oil
3,Destruction of forests
4,Human activity
5,Burning of fossil fuels
6,Carbon dioxide emissions
7,A natural cycle/causes
8,People driving their cars
9,Population growth
10,Greenhouse gas emissions
11,Livestock production
12,Factories/Industry
