"pred","CI_.025_f1","CI_.975_f1","CI_.025_f2","CI_.975_f2","CI_.025_f3","CI_.975_f3"
"MMS_human",0.457235772546611,0.771653224898694,-0.850627883502007,-0.443558240842458,-0.149071123641416,0.213656665656384
"MMS_cause_C",0.15712949869912,0.518495497205831,-0.488254935466643,-0.160511614087741,-0.1812971503443,0.166871042989615
"MMS_cause_E",-0.0835091507460077,0.279554123339458,-0.432905674839915,-0.107322383188582,-0.0243434415002511,0.357946245007479
"MMS_cause_N",-0.443545847478395,-0.132277020959336,-0.00167651306124246,0.373516513220043,-0.0542927681373331,0.276969973920244
"MMS_consequence_P",0.00328387286118719,0.353414096330142,-0.439214705535224,-0.0802074192081803,-0.097347483706161,0.272470056059797
"MMS_consequence_S",0.296995478664726,0.675964106085155,-0.332473364794996,0.0154801161389681,-0.520634577837024,-0.131871723876976
"MMS_mitigation_G",0.0330550153610118,0.358697915816933,-0.308280706416972,0.14009324095586,-0.273283267767312,0.0801174012410239
"MMS_mitigation_C",0.108507556663084,0.458181731362173,-0.37616603073483,-0.00242293229001028,-0.297948337065127,0.0924712084770088
"MMS_mitigation_E",-0.263835407186192,0.125101706144334,-0.267048452632208,0.210815063274867,-0.126155854770307,0.300293960195484
